DATA,ALCARIA (12L/04UG),,BARRAGEM DO COVÃO DE FERRO (12L/01U),,COVILHÃ (12L/03G),,SILVARES (13K/02UG),,SOBRAL DE SÃO MIGUEL (12K/01UG),,
,Precipitação diária máxima anual (mm),FLAG,Precipitação diária máxima anual (mm),FLAG,Precipitação diária máxima anual (mm),FLAG,Precipitação diária máxima anual (mm),FLAG,Precipitação diária máxima anual (mm),FLAG,
05/12/1992 09:00,,,,,69.8,,,,,,
08/09/1993 09:00,48,,,,,,,,,,
17/09/1993 09:00,,,,,,,,,50.3,,
09/10/1993 09:00,,,,,88.5,(vc),,,,,
17/10/1993 09:00,,,,,,,69.5,(vc),,,
12/02/1995 09:00,,,,,,,39.6,,47.5,,
13/02/1995 09:00,31.5,,,,55.6,,,,,,
25/10/1995 09:00,,,,,,,47.3,(vc),,,
01/06/1998 09:00,,,,,111,(vc),,,,,
21/01/1999 09:00,,,,,61,(vc),,,,,
02/04/2000 09:00,,,,,76,(vc),,,,,
07/12/2000 09:00,,,,,135,(vc),,,,,
18/09/2002 09:00,,,,,65.5,(vc),,,,,
10/12/2002 09:00,,,,,67.5,(vc),35.8,(vc),,,
26/10/2003 09:00,,,,,106.5,(vc),52,(vc),,,
27/10/2004 09:00,74,(vc),,,96.7,(vc),,,,,
28/10/2005 09:00,,,,,80.6,(vc),,,,,
25/10/2006 09:00,,,,,,,,,75.4,(vc),
01/02/2009 09:00,,,,,41.4,(vc),,,,,
13/02/2016 09:00,,,,,,,,,59.4,(vc),
26/11/2016 09:00,,,,,73.3,(vc),,,,,
01/03/2018 09:00,,,,,63.2,(vc),,,,,
26/08/2019 09:00,,,,,34,(vc),,,,,
